Year,ICD10_Code,ICD10_Diagnosis,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Value
2012/13,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,46300
2012/13,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,15200
2012/13,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,12200
2012/13,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,16200
2012/13,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,3000
2012/13,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,7000
2012/13,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,1500
2012/13,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,400
2012/13,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,4900
2012/13,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,2800
2012/13,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,1400
2012/13,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,7200
2012/13,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,4700
2012/13,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,500
2011/12,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,10164003
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1562569
2011/12,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1532698
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,490804
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,893156
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,1362664
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,84241
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,20109
2011/12,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,28923
2011/12,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4586
2011/12,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,7083
2011/12,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,83963
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,14632
2011/12,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,20124
2011/12,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,24531
2011/12,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,8963
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,40136
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,5508
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,108359
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,145419
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,265235
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,277560
2011/12,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,41486
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,105488
2011/12,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,12067
2011/12,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,9366
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,22596
2011/12,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,30389
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,5732
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,118410
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,65608
2011/12,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12055
2011/12,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,459700
2011/12,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,163700
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,121300
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,136400
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,All persons,18300
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,68500
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,13300
2011/12,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,19300
2011/12,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2011/12,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,800
2011/12,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,34100
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3700
2011/12,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,4300
2011/12,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,5900
2011/12,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,3200
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,All persons,6800
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,4700
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,84800
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,All persons,31800
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,38600
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,64100
2011/12,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7200
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,17000
2011/12,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,7400
2011/12,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,All persons,2000
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,11100
2011/12,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,4900
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,All persons,2400
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,12600
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,6900
2011/12,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,All persons,500
2011/12,All,All admissions,Hospital admissions,Number of admissions,All admissions,Male,4759706
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Male,859215
2011/12,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Male,750509
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Male,246349
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Male,514783
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Male,671345
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,47124
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,14501
2011/12,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,20574
2011/12,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3722
2011/12,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,.
2011/12,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,63567
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,9595
2011/12,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,14510
2011/12,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,12698
2011/12,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,3938
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Male,23681
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,2934
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,52881
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Male,74755
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,145316
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,184963
2011/12,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,24327
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,52534
2011/12,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,9302
2011/12,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Male,6011
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,11416
2011/12,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,13134
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Male,2249
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,48495
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,16988
2011/12,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Male,.
2011/12,All,All admissions,Hospital admissions,Attributable number,All admissions,Male,287000
2011/12,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Male,113600
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Male,62800
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Male,94000
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Male,9100
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,41000
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,10500
2011/12,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,14200
2011/12,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3000
2011/12,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,.
2011/12,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,27900
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3200
2011/12,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,3600
2011/12,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2900
2011/12,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,2100
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Male,5200
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,2600
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,41600
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Male,18600
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,26000
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,46700
2011/12,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,4100
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,9800
2011/12,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,5800
2011/12,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Male,1600
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,5900
2011/12,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,2200
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Male,1000
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,5600
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,1700
2011/12,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Male,.
2011/12,All,All admissions,Hospital admissions,Number of admissions,All admissions,Female,5404297
2011/12,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,Female,703354
2011/12,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,Female,782189
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,Female,244455
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,Female,378373
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,Female,691319
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,37117
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5608
2011/12,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,8349
2011/12,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,864
2011/12,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,7083
2011/12,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,20396
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5037
2011/12,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5614
2011/12,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,11833
2011/12,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,5025
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,Female,16455
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,2574
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,55478
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,Female,70664
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,119919
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,92597
2011/12,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,17159
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,52954
2011/12,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,2765
2011/12,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,Female,3355
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,11180
2011/12,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,17255
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,Female,3483
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,69915
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,48620
2011/12,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,Female,12055
2011/12,All,All admissions,Hospital admissions,Attributable number,All admissions,Female,172800
2011/12,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,Female,50000
2011/12,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,Female,58500
2011/12,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,Female,42400
2011/12,K00-K93,All diseases of the digestive system,Hospital admissions,Attributable number,All diseases of the digestive system,Female,9200
2011/12,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,27500
2011/12,C00-C14,Upper Respiratory Sites,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,2800
2011/12,C15,Oesophagus,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,5100
2011/12,C32,Larynx,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,700
2011/12,C53,Cervical,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,800
2011/12,C67,Bladder,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,6200
2011/12,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,400
2011/12,C16,Stomach,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,700
2011/12,C25,Pancreas,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,3100
2011/12,C80,Unspecified Site,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1100
2011/12,C92,Myeloid Leukaemia,Hospital admissions,Attributable number,Cancers which can be caused by smoking,Female,1600
2011/12,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,2100
2011/12,J44,Chronic Airway Obstruction,Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,43200
2011/12,J10-J18,"Pneumonia, Influenza",Hospital admissions,Attributable number,Respiratory diseases which can be caused by smoking,Female,13200
2011/12,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,12600
2011/12,I20-I25,Ischaemic Heart Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,17400
2011/12,I72-I78,Other arterial disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,3200
2011/12,I60-I69,Cerebrovascular Disease,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,7200
2011/12,I71,Aortic Aneurysm,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,1600
2011/12,I70,Atherosclerosis,Hospital admissions,Attributable number,Circulatory diseases which can be caused by smoking,Female,400
2011/12,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,5100
2011/12,K50,Crohns Disease,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,2700
2011/12,K05,Periodontal Disease / Periodonitis,Hospital admissions,Attributable number,Digestive Diseases which can be caused caused by smoking,Female,1400
2011/12,H25,Age Related Cataract 45+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,7000
2011/12,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,5200
2011/12,O03,Spontaneous Abortion,Hospital admissions,Attributable number,Other diseases which can be caused by smoking,Female,500
2010/11,All,All admissions,Hospital admissions,Number of admissions,All admissions,All persons,
2010/11,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,Hospital admissions,Number of admissions,All diseases which can be caused by smoking,All persons,1534176
2010/11,C00-D48,All cancers,Hospital admissions,Number of admissions,All cancers,All persons,1455823
2010/11,J00-J99,All respiratory diseases,Hospital admissions,Number of admissions,All respiratory diseases,All persons,490845
2010/11,I00-I99,All circulatory diseases,Hospital admissions,Number of admissions,All circulatory diseases,All persons,886996
2010/11,K00-K93,All diseases of the digestive system,Hospital admissions,Number of admissions,All diseases of the digestive system,All persons,1289163
2010/11,C33-C34,"Trachea, Lung, Bronchus",Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,81162
2010/11,C00-C14,Upper Respiratory Sites,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,19715
2010/11,C15,Oesophagus,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,29528
2010/11,C32,Larynx,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,4820
2010/11,C53,Cervical,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,6504
2010/11,C67,Bladder,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,81663
2010/11,C64-C66 & C68,Kidney and Renal Pelvis,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,13813
2010/11,C16,Stomach,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,20368
2010/11,C25,Pancreas,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,23553
2010/11,C80,Unspecified Site,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,9127
2010/11,C92,Myeloid Leukaemia,Hospital admissions,Number of admissions,Cancers which can be caused by smoking,All persons,37198
2010/11,J40-J43,Chronic Obstructive Lung Disease,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,6130
2010/11,J44,Chronic Airway Obstruction,Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,112790
2010/11,J10-J18,"Pneumonia, Influenza",Hospital admissions,Number of admissions,Respiratory diseases which can be caused by smoking,All persons,141899
2010/11,I00-I09 & I26-I51,Other Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,256619
2010/11,I20-I25,Ischaemic Heart Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,276670
2010/11,I72-I78,Other arterial disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,41840
2010/11,I60-I69,Cerebrovascular Disease,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,103388
2010/11,I71,Aortic Aneurysm,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,11626
2010/11,I70,Atherosclerosis,Hospital admissions,Number of admissions,Circulatory diseases which can be caused by smoking,All persons,8527
2010/11,K25-K27,Stomach / Duodenal Ulcer,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,22885
2010/11,K50,Crohns Disease,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,28285
2010/11,K05,Periodontal Disease / Periodonitis,Hospital admissions,Number of admissions,Digestive Diseases which can be caused caused by smoking,All persons,5378
2010/11,H25,Age Related Cataract 45+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,113171
2010/11,S72.0-S72.2,Hip Fracture 55+,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,64545
2010/11,O03,Spontaneous Abortion,Hospital admissions,Number of admissions,Other diseases which can be caused by smoking,All persons,12972
2010/11,All,All admissions,Hospital admissions,Attributable number,All admissions,All persons,459900
2010/11,C00-D48,All cancers,Hospital admissions,Attributable number,All cancers,All persons,160300
2010/11,J00-J99,All respiratory diseases,Hospital admissions,Attributable number,All respiratory diseases,All persons,126200
2010/11,I00-I99,All circulatory diseases,Hospital admissions,Attributable number,All circulatory diseases,All persons,135400
